title,code,section,instructor,credit_hours,program,target_department,parent_department,type,repeat,room,day,start_time,end_time
Data Structures,CS2001,BDS-3B,Ms. Hira Butt,3.0,BS,DS,CS,Core,False,Seminar Hall,Monday,08:30,09:50
Data Structures,CS2001,BDS-3A,Ms. Hira Butt,3.0,BS,DS,CS,Core,False,Seminar Hall,Monday,10:00,11:20
Technical and Business Writing,SS2007,BDS-5D,Ms.Uzma Safdar,3.0,BS,DS,HSS,Core,False,Seminar Hall,Monday,11:30,12:50
Discrete Structures,CS1005,BSR-3B,,3.0,BS,R,CS,Core,False,Seminar Hall,Monday,13:00,14:20
Linear Algebra,MT1004,BCS-3C,Dr. Akhlaq Ahmad Bhatti,3.0,BS,CS,HSS,Core,False,Seminar Hall,Monday,14:30,15:50
Linear Algebra,MT1004,BCS-3E,Dr. Muhammad Nasir,3.0,BS,CS,HSS,Core,False,Seminar Hall,Monday,16:00,17:20
Professional Practices,CS4001,BDS-7B,,3.0,BS,DS,CS,Core,False,Seminar Hall,Monday,17:30,18:50
Fundamental of Computer Vision,CS4059,BCS-7B,Dr. Asif Gilani,3.0,BS,CS,CS,Elective,False,CS-2,Monday,08:30,09:50
Data Structures,CS2001,BCS-3B,Dr. Zareen Alamgir,3.0,BS,CS,CS,Core,False,CS-2,Monday,10:00,11:20
Data Structures,CS2001,BCS-3A,Dr. Zareen Alamgir,3.0,BS,CS,CS,Core,False,CS-2,Monday,11:30,12:50
Software Design and Analysis,CS3004,BCS-5K,Ms. Mehroze Khan,3.0,BS,CS,CS,Core,False,CS-2,Monday,13:00,14:20
Block chain and Cryptocurrency,CS4049,BDS-7A,Ms. Tayyaba Bukhari,3.0,BS,DS,CS,Elective,False,CS-2,Monday,14:30,15:50
Block chain and Cryptocurrency,CS4049,BDS-7B,Ms. Tayyaba Bukhari,3.0,BS,DS,CS,Elective,False,CS-2,Monday,16:00,17:20
Software Project Management,CS5015,MSP-1A,Dr. Ali Afzal Malik,3.0,MS,SPM,CS,Core,False,CS-2,Monday,17:30,20:20
Theory of Automata,CS3005,BCS-5A,Ms. Sobia Tariq,3.0,BS,CS,CS,Core,False,CS-3,Monday,08:30,09:50
Theory of Automata,CS3005,BCS-5B,Ms. Sobia Tariq,3.0,BS,CS,CS,Core,False,CS-3,Monday,10:00,11:20
Database Systems,CS2005,BCS-5A,Mr. M. Ishaq Raza,3.0,BS,CS,CS,Core,True,CS-3,Monday,11:30,12:50
Theory of Automata,CS3005,BCS-5E,Mr. Fraz Yousaf,3.0,BS,CS,CS,Core,False,CS-3,Monday,13:00,14:20
Database Systems,CS2005,BCS-5B,Mr. M. Ishaq Raza,3.0,BS,CS,CS,Core,True,CS-3,Monday,14:30,15:50
Compiler Construction,CS4031,BCS-7A,Dr. Faisal Aslam,3.0,BS,CS,CS,Elective,False,CS-3,Monday,16:00,17:20
Compiler Construction,CS4031,BCS-7B,Dr. Faisal Aslam,3.0,BS,CS,CS,Elective,False,CS-3,Monday,17:30,18:50
Comp. Organization and Assembly Lang,EE2003,BCS-3B,Ms. Samin Iftikhar,3.0,BS,CS,CS,Core,False,CS-4,Monday,08:30,09:50
Comp. Organization and Assembly Lang,EE2003,BCS-3D,Ms. Aleena Ahmad,3.0,BS,CS,CS,Core,False,CS-4,Monday,10:00,11:20
Comp. Organization and Assembly Lang,EE2003,BCS-3E,Ms. Aleena Ahmad,3.0,BS,CS,CS,Core,False,CS-4,Monday,11:30,12:50
Comp. Organization and Assembly Lang,EE2003,BCS-3C,Ms. Samin Iftikhar,3.0,BS,CS,CS,Core,False,CS-4,Monday,13:00,14:20
Comp. Organization and Assembly Lang,EE2003,BCS-3F,Ms. Aleena Ahmad,3.0,BS,CS,CS,Core,False,CS-4,Monday,14:30,15:50
Programming Fundamentals,CS1002,BDS-1B,Dr. Mubasher Baig,3.0,BS,DS,CS,Core,False,CS-4,Monday,16:00,17:20
Technical and Business Writing,SS2007,BSE-5A,,3.0,BS,SE,HSS,Core,False,CS-4,Monday,17:30,18:50
Technical and Business Writing,SS2007,BDS-5A,Ms. Nayyab Mufti,3.0,BS,DS,HSS,Core,False,CS-5,Monday,08:30,09:50
Information Security,CS3002,BCS-7C,Dr. Rana Asif Rehman,3.0,BS,CS,CS,Core,False,CS-5,Monday,10:00,11:20
Programming Fundamentals,CS1002,BCS-1C,Mr. Uzair Naqvi,3.0,BS,CS,CS,Core,False,CS-5,Monday,11:30,12:50
Artificial Intelligence,AI2002,BCS-7A,Dr. Hajra Waheed,3.0,BS,CS,CS,Core,True,CS-5,Monday,13:00,14:20
Software Design and Analysis,CS3004,BCS-5L,Ms. Mehroze Khan,3.0,BS,CS,CS,Core,False,CS-5,Monday,14:30,15:50
Design and Analysis of Algorithms,CS2009,BCS-5B,,3.0,BS,CS,CS,Core,True,CS-5,Monday,16:00,17:20
Data Warehousing and Business Intelligence,DS3003,BDS-5C,,3.0,BS,DS,DS,Core,False,CS-5,Monday,17:30,18:50
Medical Image Processing,CS6007,MCS-1A,Dr. Asma Naseer,3.0,MS,CS,CS,Elective,False,CS-6,Monday,08:30,09:50
Theory of Programming Languages,CS5006,MCS-1A,Dr. Farooq Ahmad,3.0,MS,CS,CS,Core,False,CS-6,Monday,10:00,12:50
Software Design and Analysis,CS3004,BCS-5H,Mr. Aamir Raheem,3.0,BS,CS,CS,Core,False,CS-6,Monday,13:00,14:20
Linear Algebra,MT1004,BCS-3H,Ms. Sarah Asghar,3.0,BS,CS,HSS,Core,False,CS-6,Monday,14:30,15:50
Numerical Computing,CS2008,BCS-5E,Ms. Iqra Yaqoot,3.0,BS,CS,CS,Core,False,CS-6,Monday,16:00,17:20
Object Oriented Programming,CS1004,BSR-3A,,3.0,BS,R,CS,Core,True,CS-6,Monday,17:30,18:50
Statistical and Mathematical Methods for Data Science,DS5003,MDS-1A,Dr. Mubasher Baig,3.0,MS,DS,DS,Core,False,CS-7,Monday,08:30,11:20
Applied Artificial Intelligence,AI4007,BSE-7A,Dr. Kashif Zafar,3.0,BS,SE,CS,Core,False,CS-7,Monday,11:30,12:50
Programming Fundamentals,CS1002,BSE-1C,Ms. Anosha Khan,3.0,BS,SE,CS,Core,False,CS-7,Monday,13:00,14:20
Programming Fundamentals,CS1002,BSE-1B,Ms. Anosha Khan,3.0,BS,SE,CS,Core,False,CS-7,Monday,14:30,15:50
Calculus and Analytical Geometry,MT1003,BDS-1C,VF,3.0,BS,DS,HSS,Core,False,CS-7,Monday,16:00,17:20
Calculus and Analytical Geometry,MT1003,BCS-1J,Ms. Mahnoor Badar,3.0,BS,CS,HSS,Core,False,CS-9,Monday,08:30,09:50
Comp. Organization and Assembly Lang,EE2003,BDS-3B,Ms. Sana Fatima,3.0,BS,DS,CS,Core,False,CS-9,Monday,10:00,11:20
Comp. Organization and Assembly Lang,EE2003,BDS-3A,Ms. Sana Fatima,3.0,BS,DS,CS,Core,False,CS-9,Monday,11:30,12:50
Comp. Organization and Assembly Lang.,EE2003,BSR-3A,Ms. Sana Fatima,3.0,BS,R,CS,Core,False,CS-9,Monday,13:00,14:20
Software Requirements Engineering,SE2001,BSE-3B,Dr. Zeeshan Ali Rana,3.0,BS,SE,CS,Core,False,CS-9,Monday,14:30,15:50
Discrete Structures,CS1005,BCS-3H,Dr. Misbah Irshad,3.0,BS,CS,CS,Core,False,CS-9,Monday,16:00,17:20
Computer Networks,CS3001,BCS-5H,Dr. Zeeshan Ali Khan,3.0,BS,CS,CS,Core,False,CS-10,Monday,08:30,09:50
Data Structures,CS2001,BCS-3C,Dr. Saira Karim,3.0,BS,CS,CS,Core,False,CS-10,Monday,10:00,11:20
Data Structures,CS2001,BCS-3D,Dr. Saira Karim,3.0,BS,CS,CS,Core,False,CS-10,Monday,11:30,12:50
Data Structures,CS2001,BSE-3C,Mr. Uzair Naqvi,3.0,BS,SE,CS,Core,False,CS-10,Monday,13:00,14:20
Bioinformatics,CS4054,BCS-9A,Dr. Hammad Naveed,3.0,BS,CS,CS,Elective,True,CS-10,Monday,14:30,15:50
Numerical Computing,CS2008,BCS-5J,Dr. Nazish Iftikhar,3.0,BS,CS,CS,Core,False,CS-10,Monday,16:00,17:20
Computer Networks,CS3001,BSR-5A,Dr. Muhammad Irteza,3.0,BS,R,CS,Core,False,CS-11,Monday,08:30,09:50
Design and Analysis of Algorithms,CS2009,BSR-5A,Mr. Usama Hassan,3.0,BS,R,CS,Core,True,CS-11,Monday,10:00,11:20
Design and Analysis of Algorithms,CS2009,BDS-5C,Mr. Usama Hassan,3.0,BS,DS,CS,Core,False,CS-11,Monday,11:30,12:50
Programming Fundamentals,CS1002,BSE-1A,Mr. Raziuddin,3.0,BS,SE,CS,Core,False,CS-11,Monday,13:00,14:20
Information Security,CS3002,BCS-7A,Dr. Haroon Mahmood,3.0,BS,CS,CS,Core,False,CS-11,Monday,14:30,15:50
Probability and Statistics,MT2005,BCS-5A,,3.0,BS,CS,HSS,Core,True,CS-11,Monday,16:00,17:20
Software Requirements Engineering,SE2001,BSE-3A,Dr. Zeeshan Ali Rana,3.0,BS,SE,CS,Core,False,CS-11,Monday,17:30,18:50
Technical and Business Writing,SS2007,BDS-5B,Ms. Naima Chauhdary,3.0,BS,DS,HSS,Core,False,CS-15,Monday,08:30,09:50
Programming Fundamentals,CS1002,BCS-1J,Mr. Saifullah Tanvir,3.0,BS,CS,CS,Core,False,CS-15,Monday,10:00,11:20
Computer Networks,CS3001,BCS-5B,Mr. Danyal Farhat,3.0,BS,CS,CS,Core,False,CS-15,Monday,11:30,12:50
Data Analysis and Visualization,DS3001,BDS-5D,Umme Ammara,3.0,BS,DS,DS,Core,False,CS-15,Monday,13:00,14:20
Linear Algebra,MT1004,BCS-3G,Dr. Muhammad Nasir,3.0,BS,CS,HSS,Core,False,CS-15,Monday,14:30,15:50
Linear Algebra,MT1004,BCS-3J,Ms. Sarah Asghar,3.0,BS,CS,HSS,Core,False,CS-15,Monday,16:00,17:20
Software Construction Development,SE3001,BSE-5B,,3.0,BS,SE,SE,Core,False,CS-15,Monday,17:30,18:50
Technical and Business Writing,SS2007,BCS-5G,Ms.Irum Zahoor,3.0,BS,CS,HSS,Core,False,CS-16,Monday,08:30,09:50
Programming Fundamentals,CS1002,BCS-1K,Ms. Maham Naeem,3.0,BS,CS,CS,Core,False,CS-16,Monday,10:00,11:20
Fundamental of Computer Vision,CS4059,BCS-7A,Dr. Asif Gilani,3.0,BS,CS,CS,Elective,False,CS-16,Monday,11:30,12:50
Applied Physics,NS1001,BCS-1F,Ms. Mehwish Qutab,3.0,BS,CS,NS,Core,False,CS-16,Monday,13:00,14:20
Functional English,SS1012,BCS-1B,Dr. Zahida Mansoor,2.0,BS,CS,HSS,Core,False,CS-16,Monday,14:30,16:20
Professional Practices,CS4001,BDS-7A,Ms. Samman Ashraf,3.0,BS,DS,CS,Core,False,CS-16,Monday,17:30,18:50
Operating Systems,CS2006,BCS-5C,Ms. Namra Absar,3.0,BS,CS,CS,Core,True,Lib,Monday,08:30,09:50
Object Oriented Programming,CS1004,BCS-3B,Ms. Hina Iqbal,3.0,BS,CS,CS,Core,True,Lib,Monday,10:00,11:20
Object Oriented Programming,CS1004,BCS-3A,Ms. Hina Iqbal,3.0,BS,CS,CS,Core,True,Lib,Monday,11:30,12:50
Theory of Automata,CS3005,BCS-5L,Dr. Tahir Ejaz,3.0,BS,CS,CS,Core,False,Lib,Monday,13:00,14:20
Calculus and Analytical Geometry,MT1003,BDS-1B,VF,3.0,BS,DS,HSS,Core,False,Lib,Monday,14:30,15:50
Professional Practices,CS4001,BCS-7D,Dr. Amjad Hussain,3.0,BS,CS,CS,Core,False,Lib,Monday,16:00,17:20
Professional Practices,CS4001,BCS-7C,Dr. Amjad Hussain,3.0,BS,CS,CS,Core,False,Lib,Monday,17:30,18:50
Calculus and Analytical Geometry,MT1003,BCS-1A,Mr. Muhammad Saleem Chishti,3.0,BS,CS,HSS,Core,False,E&M-1,Monday,08:30,09:50
Numerical Computing,CS2008,BCS-5C,Dr. Syed Tauseef Saeed,3.0,BS,CS,CS,Core,False,E&M-1,Monday,10:00,11:20
Computer Networks,CS3001,BCS-5E,Dr. Arshad Ali,3.0,BS,CS,CS,Core,False,E&M-1,Monday,11:30,12:50
Applied Physics,NS1001,BCS-1G,Ms. Hufsa Attique,3.0,BS,CS,NS,Core,False,E&M-1,Monday,13:00,14:20
Calculus and Analytical Geometry,MT1003,BCS-1C,Mr. Muhammad Rizwan,3.0,BS,CS,HSS,Core,False,E&M-1,Monday,14:30,15:50
Calculus and Analytical Geometry,MT1003,BCS-1D,Mr. Muhammad Rizwan,3.0,BS,CS,HSS,Core,False,E&M-1,Monday,16:00,17:20
Calculus and Analytical Geometry,MT1003,BCS-1E,VF,3.0,BS,CS,HSS,Core,False,E&M-2,Monday,08:30,09:50
Data Analysis and Visualization,DS3001,BDS-5A,Umme Ammara,3.0,BS,DS,DS,Core,False,E&M-2,Monday,10:00,11:20
Computer Networks,CS3001,BCS-5L,Mr. Ahmad Raza,3.0,BS,CS,CS,Core,False,E&M-2,Monday,11:30,12:50
Applied Physics,NS1001,BCS-1J,Mr. Faizan Saleem,3.0,BS,CS,NS,Core,False,E&M-2,Monday,13:00,14:20
Operations Research,MT4031,BSE-5C,Mr. Amjad Ali,3.0,BS,SE,HSS,Supporting Elective,False,E&M-2,Monday,14:30,15:50
Theory of Automata,CS3005,BCS-5H,Mr. Hamadul Qudus,3.0,BS,CS,CS,Core,False,E&M-2,Monday,16:00,17:20
Calculus and Analytical Geometry,MT1003,BCS-1G,Mr. Tasaduque Hussain Shah,3.0,BS,CS,HSS,Core,False,E&M-3,Monday,08:30,09:50
Functional English,SS1012,BCS-1G,Ms. Fasiha Sherwany,2.0,BS,CS,HSS,Core,False,E&M-3,Monday,10:00,11:50
Information Security,CS3002,BCS-7E,Dr. Ammar Haider,3.0,BS,CS,CS,Core,False,E&M-3,Monday,13:00,14:20
Numerical Computing,CS2008,BCS-5K,Dr. Nazish Iftikhar,3.0,BS,CS,CS,Core,False,E&M-3,Monday,14:30,15:50
